,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,New Jersey Nets,,,,,98.1,,,,,,,,,,,,,,,,,,,,,
2,San Antonio Spurs,82,58,24,48.4,98.4,31.3,68.5,7.6,6.5,15.1,13.9,12.5,37.3,,,,,,,,,,,,,
3,Philadelphia 76ers,82,43,39,48.1,98.7,30.9,70.2,8.6,4.4,15.4,11.9,13.4,33.3,,,,,,,,,,,,,
4,Miami Heat,82,36,46,48.6,99,31,71,6.7,5.5,16.3,12,11.4,33.4,,,,,,,,,,,,,
5,Sacramento Kings,82,61,21,48.2,99.7,33,69,9,4.6,14.4,14.5,12.8,41.5,,,,,,,,,,,,,
6,Boston Celtics,82,49,33,48.4,99.9,31.3,69.5,9.7,3.6,14.9,13.6,12.6,30.9,,,,,,,,,,,,,
7,Los Angeles Lakers,82,58,24,48.2,100.3,31.8,68.6,7.6,5.8,13.7,14.6,10.7,37,,,,,,,,,,,,,
8,Detroit Pistons,82,50,32,48,100.9,28.9,67.6,7.9,6.9,16,13.2,11.2,36,,,,,,,,,,,,,
9,Toronto Raptors,82,42,40,48.2,101.7,28.5,67.1,8.4,5.6,15.3,13.5,16.2,35.4,,,,,,,,,,,,,
10,Charlotte Hornets,82,44,38,48.2,101.7,30.5,68.9,8,5.6,14.7,14.3,12.3,36.4,,,,,,,,,,,,,
11,Indiana Pacers,82,42,40,48.5,102.4,31.3,68.6,8,5.3,15.5,14.7,13.8,39.1,,,,,,,,,,,,,
12,Phoenix Suns,82,36,46,48.4,102.6,29.6,67.2,8.1,4.9,16.1,14.5,11.7,38.2,,,,,,,,,,,,,
13,Portland Trail Blazers,82,49,33,48.4,102.6,29.8,70.3,8.6,4.5,15.3,12.6,12.6,36.8,,,,,,,,,,,,,
14,Utah Jazz,82,44,38,48.4,102.8,28.6,68.3,9.1,6.4,17.2,12.8,11.9,35,,,,,,,,,,,,,
15,Seattle SuperSonics,82,45,37,48.4,104,28.5,65.6,8.5,4.4,15.3,14.7,13.1,38.5,,,,,,,,,,,,,
16,Orlando Magic,82,44,38,48.4,104,29.7,66.5,8.1,4.7,14.6,14.9,14.7,42,,,,,,,,,,,,,
17,Minnesota Timberwolves,82,50,32,48.3,104.1,31.2,70.3,6.4,5.2,15.4,13.8,11.7,38,,,,,,,,,,,,,
18,Washington Wizards,82,37,45,48.1,104.5,29.2,68.5,7,4.3,15.1,13.3,12.6,36,,,,,,,,,,,,,
19,New York Knicks,82,30,52,48.3,104.6,30,68.4,6.8,3.5,17,13.5,11.1,38,,,,,,,,,,,,,
20,Memphis Grizzlies,82,23,59,48.2,104.6,29.4,66.3,7.9,6,17.9,14.1,14.3,43.6,,,,,,,,,,,,,
21,Los Angeles Clippers,82,39,43,48.3,104.7,30.2,67.3,6.2,6.6,15.8,15.3,10,42,,,,,,,,,,,,,
22,Atlanta Hawks,82,33,49,48.2,104.8,29.8,68.9,8.1,4.3,17.8,13.8,16.7,40.7,,,,,,,,,,,,,
23,Milwaukee Bucks,82,41,41,48.5,105.6,31.2,67.9,7.3,4.7,15.9,13.9,12,37,,,,,,,,,,,,,
24,Dallas Mavericks,82,57,25,48.5,106,31.3,68.3,7.1,4.8,14.2,15.1,13.6,43.5,,,,,,,,,,,,,
25,Chicago Bulls,82,21,61,48.3,106.2,28.8,68.5,7.7,4.4,16.3,13.3,11.5,37.6,,,,,,,,,,,,,
26,Denver Nuggets,82,27,55,48.3,106.6,28.2,66.8,7.5,5.6,16.9,14.6,15.3,41.1,,,,,,,,,,,,,
27,Houston Rockets,82,28,54,48.7,106.9,29.4,67.5,6.5,5.4,16.1,14.4,12.7,41.5,,,,,,,,,,,,,
28,Cleveland Cavaliers,82,29,53,48.4,107,30.3,69,7,5.7,16.6,13.4,13,39.7,,,,,,,,,,,,,
29,Golden State Warriors,82,21,61,48.2,107.1,30.4,66.9,7.9,6.4,18.6,14.6,14.3,46,,,,,,,,,,,,,
