,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,San Antonio Spurs,,,,,97.8,,,,,,,,,,,,,,,,,,,,,
2,Chicago Bulls,82,47,35,48.4,99.1,31.6,69.1,7,4.5,17.2,12.6,10.3,33.3,,,,,,,,,,,,,
3,Detroit Pistons,82,54,28,48.7,99.5,30.6,69.3,7,6.1,14.5,12.1,12.3,35,,,,,,,,,,,,,
4,Houston Rockets,82,51,31,48.4,100.1,31.7,71.3,6.9,4.6,15.1,11.5,10.1,30.9,,,,,,,,,,,,,
5,Memphis Grizzlies,82,45,37,48.1,101.5,28.1,66.3,8.5,5.8,15.7,14.1,12.4,34.4,,,,,,,,,,,,,
6,New Jersey Nets,82,42,40,48.5,101.6,29.1,70.1,7.9,3.8,14.8,12.6,11.2,32,,,,,,,,,,,,,
7,Miami Heat,82,59,23,48.7,102.1,32.2,69.8,6.4,5.8,14.9,12.9,11.6,34.1,,,,,,,,,,,,,
8,Philadelphia 76ers,82,43,39,48.4,102.4,30.9,70.3,9.2,3.9,17.4,13.4,10.1,35,,,,,,,,,,,,,
9,Dallas Mavericks,82,58,24,48.1,102.6,30.9,67.4,8.6,5.6,15,14.6,13.7,39.8,,,,,,,,,,,,,
10,Denver Nuggets,82,49,33,48.2,102.6,30.2,67.8,9.1,6,16,14,13,39.2,,,,,,,,,,,,,
11,Indiana Pacers,82,44,38,48.5,102.7,29.5,68.7,7.5,4.4,14.4,12.5,10.9,35.3,,,,,,,,,,,,,
12,Los Angeles Clippers,82,37,45,48.9,104.5,29.9,68.7,7.3,5.1,17.5,12.9,10,39.3,,,,,,,,,,,,,
13,Cleveland Cavaliers,82,42,40,48.4,104.7,28.7,67.4,8,5.6,15.3,13.2,12.6,37.9,,,,,,,,,,,,,
14,Minnesota Timberwolves,82,44,38,48.2,105,31.5,68.2,5.6,5.5,15.2,13.7,11.6,38.6,,,,,,,,,,,,,
15,Boston Celtics,82,45,37,48.5,105.1,29.7,67.1,8.1,5.2,17.7,15,12.4,39.5,,,,,,,,,,,,,
16,Golden State Warriors,82,34,48,48.5,105.5,29.7,66.6,7.8,5.1,15.7,15,13,43,,,,,,,,,,,,,
17,Orlando Magic,82,36,46,48.1,105.6,31,68.2,7.7,5.4,17.9,14.1,14.7,40.9,,,,,,,,,,,,,
18,Phoenix Suns,82,62,20,48.2,105.7,32.3,65.6,7,5.5,15.9,17.4,12,43.2,,,,,,,,,,,,,
19,Washington Wizards,82,45,37,48.2,105.8,29,66.7,8.7,4.2,15.8,14.8,12.2,40.7,,,,,,,,,,,,,
20,New Orleans Hornets,82,18,64,48.6,105.9,27.8,67.5,6.7,3.8,17.5,13.6,11.7,36.7,,,,,,,,,,,,,
21,Charlotte Bobcats,82,18,64,48.5,106,28.5,67.6,8.5,5.4,16.6,13.1,14,40.8,,,,,,,,,,,,,
22,Portland Trail Blazers,82,27,55,48.1,106.1,29.3,65,7.1,6.6,17.7,15.8,14.3,41.6,,,,,,,,,,,,,
23,Sacramento Kings,82,50,32,48.4,106.5,29.9,66.7,8.2,3.9,15.2,15,12.9,42.9,,,,,,,,,,,,,
24,Toronto Raptors,82,33,49,48.3,107.2,29.8,68.2,7.6,3.9,15.3,13.8,11.7,41.9,,,,,,,,,,,,,
25,New York Knicks,82,33,49,48.5,107.2,29.2,68.6,7.7,3.2,16.6,13.5,12.4,40,,,,,,,,,,,,,
26,Utah Jazz,82,26,56,48.2,107.3,27.4,69.5,6.6,4.6,17.8,12.1,13.4,35.6,,,,,,,,,,,,,
27,Seattle SuperSonics,82,52,30,48.2,108,28.2,68.1,6.7,4.1,15.4,13.6,12.1,39.8,,,,,,,,,,,,,
28,Milwaukee Bucks,82,30,52,48.2,108.1,29.3,68.7,6.5,3.5,16.2,13.6,15,41.9,,,,,,,,,,,,,
29,Atlanta Hawks,82,13,69,48.4,109,28.5,69.6,7.7,4.2,18.5,13.6,13.1,41.4,,,,,,,,,,,,,
30,Los Angeles Lakers,82,34,48,48.2,109.5,30.6,68,6.2,4.2,16.9,14.7,13,39.8,,,,,,,,,,,,,
