,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,San Antonio Spurs,,,,,96.6,,,,,,,,,,,,,,,,,,,,,
2,Phoenix Suns,82,51,31,48.3,96.6,30.8,70.2,9.5,5.2,16.1,12.6,13.1,36.3,,,,,,,,,,,,,
3,New York Knicks,82,48,34,48.5,97,30.8,70.7,6.6,4.2,15.4,10.7,7.3,30.2,,,,,,,,,,,,,
4,Miami Heat,82,50,32,48.5,97.1,29.7,70,7.7,3.7,14.4,12.2,10,35.8,,,,,,,,,,,,,
5,Philadelphia 76ers,82,56,26,48.4,97.3,31.7,70.4,8.4,5,16.2,12.6,13.5,36.6,,,,,,,,,,,,,
6,Charlotte Hornets,82,46,36,48.5,97.5,31.8,71,8.1,5.5,15.6,12.9,10.5,35.4,,,,,,,,,,,,,
7,Sacramento Kings,82,55,27,49,98.4,33,67.9,9.7,5.3,16.1,13.5,13.9,39.4,,,,,,,,,,,,,
8,Detroit Pistons,82,32,50,48.4,100.2,32,69.1,7.5,5.5,16.4,13.4,13.6,35.4,,,,,,,,,,,,,
9,Portland Trail Blazers,82,50,32,48.2,100.4,30.3,70,8.2,5.1,15.7,12.6,11.2,36.4,,,,,,,,,,,,,
10,Indiana Pacers,82,41,41,48.7,100.4,31.6,68.5,6.9,5.9,15.5,13.3,12.8,34.2,,,,,,,,,,,,,
11,Utah Jazz,82,53,29,48.2,100.8,29.1,70.1,8.1,5.6,15.9,12.5,10.8,32.1,,,,,,,,,,,,,
12,Orlando Magic,82,43,39,48.7,101,29.9,66.2,8.2,5.9,16.1,14.5,13.3,37,,,,,,,,,,,,,
13,Dallas Mavericks,82,53,29,48.3,101.1,31.4,67.8,7.5,6,15.4,14.2,13.3,40.9,,,,,,,,,,,,,
14,Toronto Raptors,82,47,35,48.7,102,30.8,70,7.3,6.3,14.3,13.6,17,39.6,,,,,,,,,,,,,
15,Boston Celtics,82,36,46,48.4,102.3,28.9,69,9.4,4.1,17,13,13.4,35.9,,,,,,,,,,,,,
16,Minnesota Timberwolves,82,47,35,48.4,102.4,30.1,68.2,8.3,5.6,15.5,13.3,12.6,41,,,,,,,,,,,,,
17,Atlanta Hawks,82,25,57,48.1,102.4,30.4,69.1,7.7,4.7,18.6,13,13.1,36.8,,,,,,,,,,,,,
18,Milwaukee Bucks,82,52,30,48.2,102.5,30.5,68.3,8.2,4.7,14.9,14.5,12.2,36.9,,,,,,,,,,,,,
19,Houston Rockets,82,45,37,48.4,102.8,30.8,69.1,7.2,4.4,16.1,14.1,11.7,38.2,,,,,,,,,,,,,
20,Los Angeles Clippers,82,31,51,48.9,103.2,31.2,68.2,6,6.3,16.7,13.6,10.8,41.6,,,,,,,,,,,,,
21,Cleveland Cavaliers,82,30,52,48.4,103.5,29.8,67.8,7.8,5.3,18.5,13.8,14.6,36.6,,,,,,,,,,,,,
22,Los Angeles Lakers,82,56,26,48.5,103.5,31.5,69.1,6.9,6,16,13.5,12.8,37.9,,,,,,,,,,,,,
23,New Jersey Nets,82,26,56,48.1,103.8,28.5,67.3,7.9,5,16.2,14.1,13.8,37.2,,,,,,,,,,,,,
24,Vancouver Grizzlies,82,23,59,48.2,104.2,29.6,67.5,7.1,4.4,18,14.6,14.4,42.4,,,,,,,,,,,,,
25,Seattle SuperSonics,82,44,38,48.3,104.2,29.5,66.8,8,5,17,13.9,14.4,39.6,,,,,,,,,,,,,
26,Denver Nuggets,82,40,42,48.2,104.9,31.5,69,6.7,6.6,15.2,13.9,15,41.9,,,,,,,,,,,,,
27,Golden State Warriors,82,17,65,48.2,105.4,29.1,68,9,5,18.2,13.7,15.2,44.9,,,,,,,,,,,,,
28,Chicago Bulls,82,15,67,48.4,105.9,27.6,67.3,8.2,4.6,17.9,13.5,11.6,40,,,,,,,,,,,,,
29,Washington Wizards,82,19,63,48,106.2,28.9,68.4,7.7,4.7,19.8,13.3,14.5,42,,,,,,,,,,,,,
