,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
2,Atlanta Hawks,50,31,19,48.3,95.2,30.0,70.1,6.9,5.2,15.0,11.7,10.6,31.7
3,Philadelphia 76ers,50,28,22,48.6,95.4,28.6,67.9,10.8,5.4,16.9,12.3,11.8,33.0
4,New York Knicks,50,27,23,48.4,95.8,30.2,67.1,7.9,5.2,16.0,12.5,8.1,28.5
5,Portland Trail Blazers,50,35,15,48.7,96.1,31.4,68.7,8.2,5.8,15.0,12.9,10.5,35.0
6,Orlando Magic,50,33,17,48.2,96.3,28.9,68.5,9.9,4.3,17.3,12.3,13.9,39.2
7,Utah Jazz,50,37,13,48.7,96.7,30.2,67.7,8.0,5.5,16.9,13.0,9.8,34.8
8,Miami Heat,50,33,17,48.1,97.0,30.2,68.3,6.5,6.1,16.5,12.8,9.0,31.7
9,Detroit Pistons,50,29,21,48.2,98.3,28.2,69.7,8.9,4.2,16.0,12.0,10.5,31.1
10,Golden State Warriors,50,21,29,48.5,98.9,31.2,69.0,8.3,4.4,16.3,13.4,10.4,38.6
11,Minnesota Timberwolves,50,25,25,48.1,99.4,27.8,67.3,8.5,5.4,14.1,13.0,12.8,36.1
12,Cleveland Cavaliers,50,22,28,48.2,100.1,26.3,65.6,9.0,4.1,17.0,13.8,11.4,35.7
13,Charlotte Hornets,50,26,24,48.6,100.4,29.9,67.8,8.9,4.9,18.3,13.8,13.8,37.7
14,Boston Celtics,50,19,31,48.6,100.7,29.2,66.6,9.1,5.1,18.2,14.8,14.5,42.4
15,Houston Rockets,50,31,19,48.3,100.9,30.8,67.8,7.7,5.2,17.3,13.8,12.4,37.6
16,New Jersey Nets,50,16,34,48.2,101.2,28.7,68.2,9.8,5.5,16.1,13.0,12.4,42.5
17,Milwaukee Bucks,50,28,22,48.2,101.2,27.4,64.8,8.8,4.0,15.5,14.7,11.4,33.4
18,Sacramento Kings,50,27,23,48.8,101.5,31.5,65.4,8.9,4.6,17.9,16.1,13.3,45.8
19,Phoenix Suns,50,27,23,48.2,101.6,28.4,67.1,8.9,4.0,15.0,15.6,12.3,38.0
20,Chicago Bulls,50,13,37,48.3,101.7,27.9,68.4,8.7,3.4,17.7,12.0,12.6,38.5
21,Toronto Raptors,50,23,27,48.3,101.8,28.9,67.5,8.8,6.4,18.1,12.5,16.4,33.8
22,Washington Wizards,50,18,32,48.2,102.1,28.1,67.3,7.9,3.9,16.2,12.5,13.2,36.9
23,Indiana Pacers,50,33,17,48.4,102.1,29.0,67.1,6.3,4.5,13.9,12.5,13.2,34.0
24,Los Angeles Lakers,50,31,19,48.2,102.8,29.6,67.1,7.8,5.7,16.8,14.7,13.0,38.5
25,Dallas Mavericks,50,19,31,48.3,102.9,29.6,67.3,7.0,5.8,15.7,13.4,13.2,39.2
26,Seattle SuperSonics,50,25,25,48.4,104.2,28.4,67.3,7.9,4.0,16.2,14.5,12.9,42.0
27,Vancouver Grizzlies,50,8,42,48.7,106.3,27.2,64.5,8.4,4.0,19.3,15.1,17.6,43.6
28,Los Angeles Clippers,50,9,41,48.5,107.8,25.9,64.6,8.5,4.7,17.5,14.9,15.5,46.6
29,Denver Nuggets,50,14,36,48.1,108.6,27.8,66.0,7.5,5.5,16.2,13.6,13.0,44.4
