,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
2,Boston Celtics,82,62,20,48.5,101.6,31.5,71.5,7.6,4.7,17.5,11.0,10.6,36.1
3,Cleveland Cavaliers,82,66,16,48.2,101.6,31.4,70.7,7.2,5.3,14.7,12.0,12.6,37.1
4,Houston Rockets,82,53,29,48.3,102.9,32.5,71.4,6.7,4.3,15.7,11.7,11.7,38.0
5,San Antonio Spurs,82,54,28,48.5,103.4,32.2,74.0,5.8,4.0,13.2,10.8,12.1,37.0
6,Los Angeles Lakers,82,65,17,48.2,103.5,31.5,69.8,8.8,5.1,15.1,13.3,11.5,41.7
7,Charlotte Bobcats,82,35,47,48.6,105.0,28.9,68.6,7.1,4.8,16.6,13.4,10.6,37.6
8,Denver Nuggets,82,54,28,48.1,105.6,30.6,68.3,8.7,6.0,16.8,14.3,11.6,39.0
9,Utah Jazz,82,48,34,48.5,105.7,29.5,69.3,8.8,4.6,16.6,13.6,13.3,43.3
10,New Orleans Hornets,82,49,33,48.2,105.8,29.9,70.7,7.2,4.1,13.9,11.7,11.2,35.8
11,Portland Trail Blazers,82,54,28,48.4,106.0,28.8,70.8,6.7,4.9,14.1,12.1,10.3,38.4
12,Philadelphia 76ers,82,41,41,48.2,106.1,28.5,68.0,8.0,5.1,16.3,13.3,11.1,39.8
13,Milwaukee Bucks,82,34,48,48.2,106.3,28.9,69.9,7.4,3.8,16.6,12.9,11.9,36.2
14,Detroit Pistons,82,39,43,48.5,106.4,29.9,71.1,6.0,4.6,13.1,11.7,10.4,37.6
15,Miami Heat,82,43,39,48.7,106.4,29.4,69.3,7.9,5.5,14.7,13.0,11.4,39.1
16,Atlanta Hawks,82,47,35,48.1,106.6,29.4,68.2,7.4,4.6,14.0,13.3,12.5,40.8
17,Dallas Mavericks,82,50,32,48.3,107.0,31.6,70.7,7.2,5.2,14.8,13.0,13.3,38.9
18,Chicago Bulls,82,41,41,48.6,107.5,30.3,67.5,7.5,5.5,16.9,15.4,12.7,43.2
19,Oklahoma City Thunder,82,23,59,48.3,107.6,30.5,71.6,7.4,4.5,19.0,13.0,14.0,44.7
20,Indiana Pacers,82,36,46,48.4,108.2,32.5,70.7,7.0,5.3,17.0,12.6,12.5,37.8
21,Memphis Grizzlies,82,24,58,48.3,108.2,28.5,69.7,7.5,4.7,16.1,12.7,12.3,41.7
22,Toronto Raptors,82,33,49,48.3,108.5,30.6,70.6,6.4,4.8,15.6,13.4,11.5,40.6
23,New York Knicks,82,32,50,48.3,109.4,31.0,69.6,7.4,2.5,16.7,13.7,12.9,45.7
24,New Jersey Nets,82,34,48,48.4,109.5,29.5,70.3,6.8,4.8,15.6,13.1,13.2,38.4
25,Minnesota Timberwolves,82,24,58,48.3,109.9,29.8,71.7,6.2,3.9,16.5,12.1,13.0,39.8
26,Los Angeles Clippers,82,19,63,48.5,110.1,29.0,67.9,7.0,5.9,16.8,14.6,11.9,44.5
27,Phoenix Suns,82,46,36,48.2,110.4,30.7,68.2,7.2,5.1,18.6,15.4,13.2,39.8
28,Golden State Warriors,82,29,53,48.5,111.6,30.4,65.2,7.8,6.4,18.0,17.1,16.8,48.6
29,Washington Wizards,82,19,63,48.1,112.1,28.4,68.9,7.5,4.5,17.4,13.2,13.7,40.0
30,Sacramento Kings,82,17,65,48.5,113.4,28.9,66.9,6.9,4.3,18.7,13.9,14.3,45.6
