,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,San Antonio Spurs,,,,,93,,,,,,,,,,,,,,,,,,,,,
2,Detroit Pistons,82,54,28,48.2,93.8,30.4,68.6,8,7,14.6,12.7,10.3,33.7,,,,,,,,,,,,,
3,Indiana Pacers,82,61,21,48.3,96.1,29.9,70.6,8.9,5,14.9,11.4,11.7,35.6,,,,,,,,,,,,,
4,New Jersey Nets,82,47,35,48.1,96.4,30.2,71.1,8.6,3.9,15.5,11.4,11,33.1,,,,,,,,,,,,,
5,Houston Rockets,82,45,37,48.6,97.8,32.3,70.8,6.8,5.4,17.1,12.4,10.3,30.3,,,,,,,,,,,,,
6,Minnesota Timberwolves,82,58,24,48.2,98.5,32.3,69.1,6.8,5.6,13.1,13.1,11,35.3,,,,,,,,,,,,,
7,Toronto Raptors,82,33,49,48.7,98.7,29.5,67.3,7.4,4.9,14.5,13.9,11.3,37.7,,,,,,,,,,,,,
8,Los Angeles Lakers,82,56,26,48.4,100.1,30.9,70.1,8.3,4.6,14.5,13.1,11,37.7,,,,,,,,,,,,,
9,Miami Heat,82,42,40,48.2,100.3,30,70.7,7.2,3.8,15.2,12.2,9.9,33.5,,,,,,,,,,,,,
10,Philadelphia 76ers,82,33,49,48.4,100.4,29.4,68.1,8,4.4,16.8,13.3,11.9,36.6,,,,,,,,,,,,,
11,New Orleans Hornets,82,41,41,48.4,100.6,29.5,68.1,8.6,4.2,16.1,13.1,11.5,37.4,,,,,,,,,,,,,
12,Memphis Grizzlies,82,50,32,48.5,100.7,29,65.5,9.7,6.9,15.5,15,13.1,41.4,,,,,,,,,,,,,
13,Utah Jazz,82,42,40,48.2,101.3,27.7,69.1,7.1,6,17,11.7,11.5,32.2,,,,,,,,,,,,,
14,New York Knicks,82,39,43,48.5,101.3,31,70.1,7.4,4.8,17,12.6,10.7,34.7,,,,,,,,,,,,,
15,Denver Nuggets,82,43,39,48.1,101.4,29.1,66.4,9.1,6.3,16.4,14.2,14,42.9,,,,,,,,,,,,,
16,Chicago Bulls,82,23,59,48.4,102.1,30.7,67.9,8,4.8,17.4,13.2,12,36.5,,,,,,,,,,,,,
17,Boston Celtics,82,36,46,48.1,102.2,29.8,65.8,9.4,4,17.6,14.7,12.1,35.5,,,,,,,,,,,,,
18,Golden State Warriors,82,37,45,48.4,102.6,30.9,69.4,7,4.7,15.3,13.4,12.2,38.7,,,,,,,,,,,,,
19,Washington Wizards,82,25,57,48.4,102.9,29.2,66.7,8.9,5,20.1,13.6,15.9,40,,,,,,,,,,,,,
20,Cleveland Cavaliers,82,35,47,48.4,103.1,31.9,68.8,7.1,6.5,15.7,13.4,13.1,38.1,,,,,,,,,,,,,
21,Sacramento Kings,82,55,27,48.2,103.2,30.4,67.6,8.7,4,15.1,14.1,13.2,42.6,,,,,,,,,,,,,
22,Portland Trail Blazers,82,41,41,48.7,103.5,29,67,7.5,5.4,16.5,13.8,12.2,38.9,,,,,,,,,,,,,
23,Milwaukee Bucks,82,41,41,48.2,103.5,30.5,69,6.8,4.7,14.8,13.4,13.2,40.6,,,,,,,,,,,,,
24,Atlanta Hawks,82,28,54,48.5,103.9,30.6,68.6,7.6,5,18.9,14,13.7,40,,,,,,,,,,,,,
25,Phoenix Suns,82,29,53,48.1,104.1,29.3,66.1,9,4.7,17,15,11.2,40,,,,,,,,,,,,,
26,Dallas Mavericks,82,52,30,48.3,105.8,31,68.6,8,5.3,13.9,13.2,14.4,44,,,,,,,,,,,,,
27,Seattle SuperSonics,82,37,45,48.3,106.4,28.3,65.5,8.1,4.7,17.2,15.2,13.5,39,,,,,,,,,,,,,
28,Los Angeles Clippers,82,28,54,48.3,106.6,29.5,67.7,7.2,4.6,18.7,14.4,11.1,42.7,,,,,,,,,,,,,
29,Orlando Magic,82,21,61,48.4,108.8,28.7,65.7,6.7,3.8,16.7,15.4,14.1,44.8,,,,,,,,,,,,,
