,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
2,San Antonio Spurs,82,56,26,48.4,98.0,32.2,69.6,6.3,6.9,16.6,13.5,10.6,33.7
3,Chicago Bulls,82,62,20,48.4,98.4,29.7,67.6,8.5,4.3,15.0,13.6,12.3,37.4
4,New York Knicks,82,43,39,48.4,98.7,29.7,70.3,7.7,3.4,15.3,12.2,9.3,32.4
5,Indiana Pacers,82,58,24,48.4,99.5,28.6,65.7,7.9,4.5,14.5,14.3,12.2,37.2
6,Miami Heat,82,55,27,48.2,100.5,29.5,66.9,8.1,5.2,16.4,14.5,10.8,36.8
7,Phoenix Suns,82,56,26,48.7,100.6,29.9,66.4,9.2,5.2,16.3,14.5,11.8,39.8
8,Portland Trail Blazers,82,46,36,48.4,100.8,30.8,68.5,7.1,5.7,17.5,12.3,13.4,36.2
9,Detroit Pistons,82,37,45,48.7,101.8,28.5,66.8,8.3,4.2,15.6,14.2,11.0,34.3
10,Orlando Magic,82,41,41,48.4,102.2,26.9,64.6,7.9,5.4,16.8,14.5,14.8,41.0
11,Seattle SuperSonics,82,61,21,48.2,102.2,27.1,63.5,9.8,4.6,15.5,15.4,13.0,38.9
12,Los Angeles Lakers,82,61,21,48.4,102.3,30.1,65.6,9.0,6.8,17.5,15.6,13.3,40.4
13,Atlanta Hawks,82,50,32,48.5,102.5,29.5,66.9,7.9,6.0,16.4,14.0,13.3,38.2
14,Washington Wizards,82,42,40,48.3,103.2,28.5,67.3,8.4,4.6,15.4,14.3,13.7,42.8
15,Charlotte Hornets,82,51,31,48.2,103.3,28.5,69.1,8.4,3.8,17.1,13.8,13.0,40.9
16,Philadelphia 76ers,82,31,51,48.2,103.3,28.0,66.0,8.9,6.0,18.5,14.6,14.6,37.9
17,Golden State Warriors,82,19,63,48.4,103.5,30.2,66.4,7.6,5.5,18.5,15.3,13.8,41.0
18,Boston Celtics,82,36,46,48.1,103.5,24.9,64.2,12.0,4.5,17.7,14.4,15.2,46.8
19,Milwaukee Bucks,82,36,46,48.6,103.6,27.3,66.4,8.9,4.4,18.9,13.6,16.8,43.1
20,Utah Jazz,82,62,20,48.2,103.7,29.3,68.4,7.9,5.0,17.0,13.6,10.1,35.3
21,New Jersey Nets,82,43,39,48.5,104.1,26.1,65.0,9.5,3.8,16.0,15.2,13.6,44.8
22,Sacramento Kings,82,27,55,48.1,105.0,28.1,64.3,7.3,5.1,17.5,15.1,15.7,44.4
23,Dallas Mavericks,82,20,62,48.5,105.2,27.8,63.2,7.9,5.7,16.6,16.4,15.9,44.0
24,Minnesota Timberwolves,82,45,37,48.6,105.5,29.6,65.7,7.8,5.2,16.4,16.3,14.0,42.2
25,Houston Rockets,82,41,41,48.4,106.8,28.7,67.2,8.4,3.6,17.6,15.6,13.9,41.5
26,Toronto Raptors,82,16,66,48.6,108.9,26.2,60.2,9.4,8.1,19.3,18.0,22.5,48.4
27,Los Angeles Clippers,82,17,65,48.2,109.6,27.8,63.8,7.6,5.6,18.7,16.4,14.7,47.9
28,Vancouver Grizzlies,82,19,63,48.4,110.2,28.2,65.2,7.5,4.3,19.6,15.2,17.9,43.0
29,Denver Nuggets,82,11,71,48.1,110.6,26.3,63.9,8.1,4.8,18.9,15.2,12.8,40.8
