,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,Chicago Bulls,,,,,97.4,,,,,,,,,,,,,,,,,,,,,
2,Boston Celtics,66,39,27,48.3,97.5,31.1,68.6,7.5,5.5,16.2,13.5,11.5,39.8,,,,,,,,,,,,,
3,Philadelphia 76ers,66,35,31,48.2,98.2,32.5,71.2,8,5.2,11.6,11.7,10.2,36.4,,,,,,,,,,,,,
4,Miami Heat,66,46,20,48.6,99.2,31.2,69.3,8.9,5.4,16.6,13.1,11.9,36.6,,,,,,,,,,,,,
5,New York Knicks,66,36,30,48.3,100.2,30.5,70.2,9.4,4.2,17.8,12.6,12.4,38.9,,,,,,,,,,,,,
6,Atlanta Hawks,66,40,26,49,100.3,31.3,70.3,8.1,4.6,16,12.6,12,40.5,,,,,,,,,,,,,
7,Memphis Grizzlies,66,41,25,48.3,100.6,29.5,68.8,9.6,5.2,16,12.5,12.1,40.3,,,,,,,,,,,,,
8,Dallas Mavericks,66,36,30,48.7,100.9,32.7,71.4,8.6,5.1,15.8,12.3,14.4,38.9,,,,,,,,,,,,,
9,Oklahoma City Thunder,66,47,19,48.5,102.1,32.7,68.7,7.5,8.2,16.7,14.7,12.3,42.4,,,,,,,,,,,,,
10,Indiana Pacers,66,42,24,48.5,102.1,31.4,68.9,7.9,5.4,15.1,13,12.5,38.1,,,,,,,,,,,,,
11,San Antonio Spurs,66,50,16,48.3,102.3,32.6,72,7.4,4.4,15.2,11.1,14,40.5,,,,,,,,,,,,,
12,Los Angeles Lakers,66,41,25,48.7,103.1,34.1,71.9,5.9,5.3,16.6,12.7,15.1,40.4,,,,,,,,,,,,,
13,Orlando Magic,66,37,29,48.4,103.3,31.2,72,6.8,4.2,16.2,11.8,10.9,37.4,,,,,,,,,,,,,
14,Toronto Raptors,66,23,43,48.4,103.6,31.4,70.8,6.5,4.9,15.4,12.3,12.5,37.6,,,,,,,,,,,,,
15,New Orleans Hornets,66,21,45,48.3,103.9,30.2,69.6,7.4,4.8,17.7,13.3,12.9,40.9,,,,,,,,,,,,,
16,Houston Rockets,66,34,32,48.7,103.9,30.5,69.2,7.5,4.8,16.7,13.3,13.7,44.5,,,,,,,,,,,,,
17,Milwaukee Bucks,66,31,35,48.1,104.1,30,67.5,8.3,5.1,16.5,13.8,13.4,41.4,,,,,,,,,,,,,
18,Los Angeles Clippers,66,40,26,48.4,104.8,29.4,69.2,8.4,4.8,15.1,12.9,12.3,38.6,,,,,,,,,,,,,
19,Utah Jazz,66,36,30,49,104.9,31.1,70.3,8.3,5.8,15.3,12.2,14.4,42.3,,,,,,,,,,,,,
20,Detroit Pistons,66,25,41,48.4,104.9,28.5,68.9,7,4.2,18.4,12.2,14,40.1,,,,,,,,,,,,,
21,Washington Wizards,66,20,46,48.1,104.9,29.9,67.8,8,6.3,18.2,14.5,14.5,40.7,,,,,,,,,,,,,
22,Denver Nuggets,66,38,28,48.6,105.1,31.9,70.5,8.2,5,17.3,12.6,12.2,39.5,,,,,,,,,,,,,
23,Phoenix Suns,66,33,33,48,105.2,30.8,68.7,6.5,5.5,15.2,14.2,12.6,43.4,,,,,,,,,,,,,
24,Minnesota Timberwolves,66,26,40,48.3,105.3,31.7,69.3,6.6,4.4,18.4,14,15.8,44.1,,,,,,,,,,,,,
25,Portland Trail Blazers,66,28,38,48.4,105.3,29.5,69.1,8,4.9,16,13.4,14.3,42.2,,,,,,,,,,,,,
26,Golden State Warriors,66,23,43,48.2,107.2,29.5,65.8,8,5.5,16.2,15.3,14.4,43.1,,,,,,,,,,,,,
27,Cleveland Cavaliers,66,21,45,48.4,107.6,29.5,68.3,7.1,4,16.9,14.5,11.7,43.6,,,,,,,,,,,,,
28,New Jersey Nets,66,22,44,48.2,108.1,28.5,67.7,7.5,3.9,17.7,13.6,14.8,44.2,,,,,,,,,,,,,
29,Sacramento Kings,66,22,44,48.2,108.7,29.5,67,8.5,4.9,17.8,14.4,17.1,48.2,,,,,,,,,,,,,
30,Charlotte Bobcats,66,7,59,48.2,109.4,28.7,67.8,6,5.5,17.2,15.4,16,48.3,,,,,,,,,,,,,
