,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,Miami Heat,,,,,99.2,,,,,,,,,,,,,,,,,,,,,
2,New York Knicks,82,57,25,48.4,99.4,30.7,70,7.7,4.6,18.4,12.5,8.9,33.8,,,,,,,,,,,,,
3,Atlanta Hawks,82,56,26,48.3,100,28.7,67,8.5,5.2,16.1,14.4,11.3,36.6,,,,,,,,,,,,,
4,Chicago Bulls,82,69,13,48.1,100.6,30,67,8.7,4,14.2,14.4,10.5,38.5,,,,,,,,,,,,,
5,Cleveland Cavaliers,82,42,40,48.4,100.8,26.3,68.1,8,3.8,15.7,11.3,8.8,33.2,,,,,,,,,,,,,
6,Seattle SuperSonics,82,57,25,48.2,101,27.7,65.7,11,4.7,16.3,14.6,10.8,34.3,,,,,,,,,,,,,
7,Portland Trail Blazers,82,49,33,48.4,102,30.4,69.1,7.8,5.3,18.2,12.7,12.4,38.9,,,,,,,,,,,,,
8,Los Angeles Lakers,82,56,26,48.6,102.2,29.4,65.8,9,7,16.1,14.9,13.6,40.5,,,,,,,,,,,,,
9,Utah Jazz,82,64,18,48.4,102.5,29.4,68.7,9.1,5.1,16.3,13,8,34.7,,,,,,,,,,,,,
10,Detroit Pistons,82,54,28,48.4,102.6,28,67.5,7.7,3.5,14,13.2,9.5,32.2,,,,,,,,,,,,,
11,Houston Rockets,82,57,25,48.4,102.7,31.3,69.2,8.4,4.2,18.2,14.2,12.7,39.7,,,,,,,,,,,,,
12,Indiana Pacers,82,39,43,48.6,102.8,29.1,66.8,7.1,4.8,18.3,13.4,13.2,35,,,,,,,,,,,,,
13,Washington Bullets,82,44,38,48.4,103.6,29.5,67.6,8.7,4.9,17.2,13.5,12.6,39.9,,,,,,,,,,,,,
14,Orlando Magic,82,45,37,48.4,104.2,27.1,65.1,8.5,4.4,17.7,14.3,16.4,43.4,,,,,,,,,,,,,
15,Minnesota Timberwolves,82,40,42,48.2,105.5,28.1,64.9,7.5,6.8,16.9,14.5,13,42.2,,,,,,,,,,,,,
16,Dallas Mavericks,82,24,58,48.3,106,27.6,65,8,4.3,17.5,13.7,14.6,39.1,,,,,,,,,,,,,
17,Los Angeles Clippers,82,36,46,48.6,106.2,27.3,65.4,8.9,5.4,18.2,14,12.7,44.3,,,,,,,,,,,,,
18,Toronto Raptors,82,30,52,48.4,106.3,27.5,65.7,8.8,6.3,18.8,14.8,17.7,43.2,,,,,,,,,,,,,
19,Milwaukee Bucks,82,33,49,48.1,106.7,27.6,66.9,7.7,4.2,18.5,13.4,17,44.4,,,,,,,,,,,,,
20,Phoenix Suns,82,40,42,48.4,107,29,66.3,8.1,3.9,16.2,15.6,11.6,43.3,,,,,,,,,,,,,
21,Sacramento Kings,82,34,48,48.4,107,28.1,66.1,7.2,4.4,18.7,13.9,13.7,41.6,,,,,,,,,,,,,
22,Charlotte Hornets,82,54,28,48.3,107,28,66.1,7.3,4.3,16.3,16.1,11.1,42.6,,,,,,,,,,,,,
23,New Jersey Nets,82,26,56,48.2,107.1,29,66.9,8.3,5.9,17.7,14.3,14.9,43.3,,,,,,,,,,,,,
24,Philadelphia 76ers,82,22,60,48.2,109.4,28.7,65.4,8.3,4.8,20.6,16.5,16.5,48.1,,,,,,,,,,,,,
25,Denver Nuggets,82,21,61,48.6,109.7,29.9,66.6,6.1,5.9,19.3,15.6,13.4,45.4,,,,,,,,,,,,,
26,Vancouver Grizzlies,82,14,68,48.2,110,26.3,61.8,8,5.7,18.1,16,14.4,46.2,,,,,,,,,,,,,
27,Boston Celtics,82,15,67,48.5,110.1,26.7,65.8,9.9,3.8,19,14.6,15.9,52.7,,,,,,,,,,,,,
28,Golden State Warriors,82,30,52,48.5,110.2,27.5,64.8,7.5,4.4,20.7,15.2,12.2,43.4,,,,,,,,,,,,,
29,San Antonio Spurs,82,20,62,48.1,110.8,26,64.3,7.9,5.3,17.3,15,12.9,40.8,,,,,,,,,,,,,
