,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
2,San Antonio Spurs,82,58,24,48.2,99.4,31.4,71.5,7.2,5.1,15.3,12.4,10.8,38.9
3,Houston Rockets,82,52,30,48.4,99.7,32.6,72.5,7.1,4.1,14.8,11.6,9.6,33.0
4,Cleveland Cavaliers,82,50,32,48.5,100.6,30.8,72.1,7.6,4.3,14.7,12.3,10.7,38.1
5,Dallas Mavericks,82,67,15,48.2,102.1,30.7,71.9,6.8,5.0,15.2,11.4,12.7,36.9
6,Detroit Pistons,82,53,29,48.5,102.5,29.0,67.8,7.1,5.8,13.2,13.3,11.2,37.2
7,Orlando Magic,82,40,42,48.2,103.3,29.5,69.7,6.9,5.1,18.0,11.6,13.0,34.0
8,Los Angeles Clippers,82,40,42,48.1,104.2,30.3,71.2,7.3,5.8,16.5,12.1,9.0,40.0
9,Indiana Pacers,82,35,47,48.2,104.3,29.8,69.4,7.3,5.5,18.5,13.2,12.6,38.7
10,Toronto Raptors,82,47,35,48.2,104.4,30.2,71.1,7.1,3.9,15.1,12.6,11.7,40.0
11,Miami Heat,82,44,38,48.4,104.5,30.8,69.3,6.9,5.4,16.4,13.3,12.8,36.1
12,New Jersey Nets,82,41,41,48.5,105.1,30.8,71.4,6.1,3.3,16.6,12.5,11.1,35.6
13,Denver Nuggets,82,45,37,48.2,105.1,31.2,67.8,8.3,5.3,18.6,14.3,14.6,44.8
14,New Orleans/Oklahoma City Hornets,82,39,43,48.5,105.3,30.6,71.9,6.4,4.2,16.1,13.0,11.9,37.8
15,Phoenix Suns,82,61,21,48.5,105.5,31.5,68.3,6.7,4.8,16.2,15.3,10.5,42.3
16,Philadelphia 76ers,82,35,47,48.5,105.6,28.7,67.8,7.2,4.8,17.2,14.3,11.9,41.2
17,Utah Jazz,82,51,31,48.3,105.6,30.0,72.1,7.0,4.1,17.5,11.1,12.2,38.2
18,Boston Celtics,82,24,58,48.4,105.8,29.2,70.5,7.2,4.7,18.2,12.0,12.4,41.7
19,Charlotte Bobcats,82,33,49,48.8,106.2,28.6,68.2,7.8,4.5,16.9,12.9,13.1,42.0
20,Minnesota Timberwolves,82,32,50,48.8,106.4,30.2,69.8,6.5,4.0,17.5,13.8,11.8,40.4
21,Golden State Warriors,82,42,40,48.2,106.5,29.9,66.2,9.1,5.7,18.3,16.0,13.4,43.9
22,Sacramento Kings,82,33,49,48.3,106.7,29.2,69.2,8.2,3.2,15.5,12.8,12.5,41.9
23,Atlanta Hawks,82,30,52,48.5,107.0,28.2,67.6,7.4,5.4,18.1,13.7,13.3,43.0
24,New York Knicks,82,33,49,48.8,107.4,30.7,71.4,6.6,3.2,18.4,13.2,10.1,38.1
25,Los Angeles Lakers,82,42,40,48.9,107.4,30.4,69.0,7.3,5.1,18.2,14.1,12.2,43.7
26,Portland Trail Blazers,82,32,50,48.7,108.6,28.0,69.7,6.8,4.6,18.3,12.6,13.9,41.2
27,Seattle SuperSonics,82,31,51,48.4,108.9,28.3,67.6,7.7,3.7,17.7,14.7,12.6,43.6
28,Washington Wizards,82,41,41,48.4,109.1,29.0,67.8,7.7,4.6,16.1,14.4,13.3,41.6
29,Milwaukee Bucks,82,28,54,48.4,110.3,27.7,65.7,7.2,2.7,17.5,14.2,12.9,43.5
30,Memphis Grizzlies,82,22,60,48.7,110.8,29.0,68.2,6.9,5.0,19.8,14.2,14.6,45.4
