,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
2,Charlotte Bobcats,82,44,38,48.5,102.0,30.4,69.8,7.7,5.4,16.9,12.7,12.8,39.6
3,Los Angeles Lakers,82,57,25,48.4,102.7,32.5,70.8,7.5,4.9,15.2,12.9,12.8,40.7
4,Orlando Magic,82,59,23,48.1,102.7,33.4,72.6,6.2,5.6,16.3,11.7,11.2,36.6
5,Boston Celtics,82,50,32,48.2,103.2,29.9,69.7,8.5,4.9,16.1,12.8,11.6,38.2
6,Miami Heat,82,47,35,48.5,103.4,31.1,70.1,7.4,5.6,13.8,12.6,11.4,37.0
7,Oklahoma City Thunder,82,50,32,48.3,103.5,31.8,69.4,8.0,5.9,16.3,14.3,12.5,44.0
8,Cleveland Cavaliers,82,61,21,48.2,103.8,32.8,72.5,6.9,5.2,15.6,11.7,13.2,36.8
9,San Antonio Spurs,82,50,32,48.2,103.9,32.0,72.0,6.3,4.6,15.7,12.6,14.7,41.0
10,Utah Jazz,82,53,29,48.2,104.0,31.6,71.8,8.2,4.9,17.1,12.1,15.0,40.0
11,Chicago Bulls,82,41,41,48.5,104.1,33.1,70.9,6.5,5.8,15.5,12.9,13.3,39.7
12,Dallas Mavericks,82,55,27,48.5,105.0,31.5,69.7,7.6,5.5,15.0,12.9,13.4,41.7
13,Indiana Pacers,82,32,50,48.1,105.9,31.9,69.0,7.1,5.4,17.4,14.0,13.5,39.3
14,Atlanta Hawks,82,53,29,48.4,106.0,29.9,68.5,7.2,5.0,13.6,14.0,15.9,42.9
15,Portland Trail Blazers,82,50,32,48.4,106.1,29.1,70.2,6.4,4.3,14.1,12.8,11.2,40.9
16,Denver Nuggets,82,53,29,48.2,106.4,30.5,68.7,8.3,5.1,16.5,14.0,13.9,42.6
17,Houston Rockets,82,42,40,48.5,106.8,30.1,69.9,7.1,3.9,16.4,13.4,14.1,45.6
18,Washington Wizards,82,26,56,48.4,108.3,30.0,69.1,6.0,5.1,17.1,13.5,13.8,41.6
19,Philadelphia 76ers,82,27,55,48.3,108.9,29.5,69.3,8.1,5.4,16.4,12.7,13.7,42.5
20,New Orleans Hornets,82,37,45,48.4,108.9,29.9,69.6,7.6,3.7,15.9,13.4,14.4,45.2
21,New Jersey Nets,82,12,70,48.2,108.9,28.8,68.6,7.0,4.8,16.6,13.9,16.5,44.9
22,Memphis Grizzlies,82,40,42,48.5,108.9,30.4,69.8,7.9,4.9,18.8,13.2,18.0,47.7
23,Sacramento Kings,82,25,57,48.5,109.0,30.7,70.0,6.9,4.5,16.8,13.8,15.0,45.0
24,Los Angeles Clippers,82,29,53,48.1,109.1,30.5,69.7,6.5,5.7,18.8,13.5,13.6,43.5
25,Phoenix Suns,82,54,28,48.1,109.1,31.9,67.3,5.8,5.1,17.2,16.1,15.3,43.8
26,New York Knicks,82,29,53,48.5,110.3,30.2,69.1,7.1,3.7,15.9,14.1,12.7,47.2
27,Detroit Pistons,82,27,55,48.2,110.3,27.3,69.7,7.3,3.8,16.2,12.9,14.1,38.6
28,Golden State Warriors,82,26,56,48.1,110.3,29.2,65.9,9.3,4.1,17.9,16.0,18.2,48.4
29,Minnesota Timberwolves,82,15,67,48.2,110.4,31.2,70.5,7.3,3.7,19.6,13.4,17.9,44.6
30,Toronto Raptors,82,40,42,48.2,112.2,30.6,69.2,5.7,4.7,15.6,13.5,17.2,42.4
