,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,New Jersey Nets,,,,,96.6,,,,,,,,,,,,,,,,,,,,,
2,Sacramento Kings,82,59,23,48.4,97.8,33.5,67.8,9,5.6,15.6,14.6,12.4,38.2,,,,,,,,,,,,,
3,San Antonio Spurs,82,60,22,48.4,98.1,31.2,68.7,7.7,6.5,16.7,14,12.2,37.5,,,,,,,,,,,,,
4,Detroit Pistons,82,50,32,48.5,98.1,29.8,70.7,6.8,5.7,14,11.7,10.2,34,,,,,,,,,,,,,
5,Indiana Pacers,82,48,34,48.5,99.6,32,69.4,8.5,5.4,16.3,13.7,13.8,37.9,,,,,,,,,,,,,
6,New Orleans Hornets,82,47,35,48.5,100,30.2,69.7,8,4.8,15.9,13.2,12,38.6,,,,,,,,,,,,,
7,Denver Nuggets,82,17,65,48.1,100,28.8,69.7,8.7,5.1,19.4,11.3,13.9,35,,,,,,,,,,,,,
8,Boston Celtics,82,44,38,48.4,100.5,30.1,69.1,8.8,3.7,15,13.5,11.2,31.9,,,,,,,,,,,,,
9,Philadelphia 76ers,82,48,34,48.4,100.6,29.5,70.4,10.3,3.5,16.3,12.3,13.8,36.8,,,,,,,,,,,,,
10,Houston Rockets,82,43,39,48.6,100.8,31.3,69.8,7.2,6,16.5,13.2,10.7,34.8,,,,,,,,,,,,,
11,Dallas Mavericks,82,60,22,48.2,101,31,67.7,8.1,5.5,12.4,14.3,12.3,38.5,,,,,,,,,,,,,
12,Utah Jazz,82,47,35,48.2,101.1,29,67.3,8.6,5.7,17.6,12.9,11.7,35.3,,,,,,,,,,,,,
13,Miami Heat,82,25,57,48.4,101.2,30,70.9,7.2,4,15,11.9,10.4,35.3,,,,,,,,,,,,,
14,Phoenix Suns,82,44,38,48.3,101.3,29.8,67.2,8.1,4.9,15.2,15.2,10.4,39.1,,,,,,,,,,,,,
15,Portland Trail Blazers,82,50,32,48.4,101.5,29,68.9,8.8,3.9,17.2,13.3,12.9,38,,,,,,,,,,,,,
16,Minnesota Timberwolves,82,51,31,48.3,102.5,31.9,69.5,6.7,5.3,15,13.8,11.7,38.2,,,,,,,,,,,,,
17,Seattle SuperSonics,82,40,42,48.4,102.6,29.1,68.8,8.3,3.6,15,13.1,12.5,36.4,,,,,,,,,,,,,
18,Washington Wizards,82,37,45,48.4,102.6,29.2,68.6,7.6,4.8,15.2,13.7,11.7,35.7,,,,,,,,,,,,,
19,Los Angeles Lakers,82,50,32,48.6,103.3,31.1,69.3,7.8,5.7,15.9,13.8,11.9,37.7,,,,,,,,,,,,,
20,Orlando Magic,82,42,40,48.3,103.7,29.2,68,8.5,3.7,15.4,14,12.5,40.5,,,,,,,,,,,,,
21,Chicago Bulls,82,30,52,48.6,104.1,31,67.2,7.4,5.6,18.6,14.3,12.6,39.1,,,,,,,,,,,,,
22,Atlanta Hawks,82,35,47,48.5,104.2,31.2,68.1,7.5,5.8,19,14.7,13.2,39.1,,,,,,,,,,,,,
23,New York Knicks,82,37,45,48.4,104.6,29,68.9,7.1,3.1,15.9,12.9,10.4,41.4,,,,,,,,,,,,,
24,Cleveland Cavaliers,82,17,65,48.4,105.1,31,69.7,7.8,6.4,20.3,13.1,16.3,39.5,,,,,,,,,,,,,
25,Los Angeles Clippers,82,27,55,48.2,105.1,30,67.3,7,5.6,17.2,14.8,9.9,40.4,,,,,,,,,,,,,
26,Toronto Raptors,82,24,58,48.3,105.6,28.7,67.8,7.4,4.8,15.9,14.2,18.3,43.2,,,,,,,,,,,,,
27,Memphis Grizzlies,82,28,54,48.6,105.8,30.1,65.9,7.9,6.1,16.8,15.3,13.8,45.5,,,,,,,,,,,,,
28,Milwaukee Bucks,82,42,40,48.5,106.9,28.9,66.6,7.6,4.2,14.4,15,11.9,38.6,,,,,,,,,,,,,
29,Golden State Warriors,82,38,44,48.2,107.7,31,66.3,7.2,6.2,18.2,16,14.1,44.5,,,,,,,,,,,,,
