,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,GP RANK,W RANK,L RANK,MIN RANK,DEF RTG RANK,DREB RANK,DREB% RANK,STL RANK,BLK RANK,OPP PTSOFF TOV RANK,OPP PTS2ND CHANCE RANK,OPP PTSFB RANK,OPP PTSPAINT RANK
1,Indiana Pacers,,,,,98.9,,,,,,,,,,,,,,,,,,,,,
2,Chicago Bulls,82,48,34,48.6,99.8,32.7,71.3,7.2,5.2,15.6,11.7,12.4,37,,,,,,,,,,,,,
3,Golden State Warriors,82,51,31,48.4,101.4,34.4,72.4,7.8,5,17,13,13.3,40.7,,,,,,,,,,,,,
4,San Antonio Spurs,82,62,20,48.2,101.4,34,72.5,7.4,5.1,16.3,12.7,12.8,42.2,,,,,,,,,,,,,
5,Oklahoma City Thunder,82,59,23,48.3,103,33.9,72.2,8.3,6.1,17.3,12.3,12.8,39.7,,,,,,,,,,,,,
6,Charlotte Bobcats,82,43,39,48.5,103.3,33.2,73,6.1,5.1,14,12.6,10.2,38.8,,,,,,,,,,,,,
7,Washington Wizards,82,44,38,48.9,103.5,31.4,71.9,8.1,4.6,16.8,12.9,12.3,41.9,,,,,,,,,,,,,
8,Memphis Grizzlies,82,50,32,48.3,103.7,30.8,71.8,7.7,4.6,15.6,11.5,13.4,38.6,,,,,,,,,,,,,
9,Los Angeles Clippers,82,57,25,48.2,104,32.5,69,8.6,4.8,15.6,14.2,11.1,44.6,,,,,,,,,,,,,
10,Toronto Raptors,82,48,34,48.7,104.6,31.1,70.1,7,4.2,16.8,13.1,12.1,42.9,,,,,,,,,,,,,
11,Miami Heat,82,54,28,48.5,105,29.2,68.6,8.9,4.5,17.4,13.3,12,41.1,,,,,,,,,,,,,
12,Minnesota Timberwolves,82,40,42,48.4,105.1,32.2,71.5,8.8,3.6,15.9,12.9,16.3,46.1,,,,,,,,,,,,,
13,Houston Rockets,82,54,28,48.4,105.2,34.1,70,7.6,5.6,18,14.6,13.8,44,,,,,,,,,,,,,
14,Phoenix Suns,82,48,34,48.2,105.6,31.7,69.9,8.4,4.6,16.9,14.3,14.1,45.5,,,,,,,,,,,,,
15,Atlanta Hawks,82,38,44,48.4,105.6,31.3,71.1,8.3,4,17.3,13.1,12.4,42.5,,,,,,,,,,,,,
16,Portland Trail Blazers,82,54,28,48.4,106.1,34,71.3,5.5,4.7,15.6,14,13.3,45.6,,,,,,,,,,,,,
17,Boston Celtics,82,25,57,48.1,106.5,30.5,70.8,7.1,4.2,16.5,13.8,13.3,44.8,,,,,,,,,,,,,
18,Orlando Magic,82,23,59,48.7,106.6,32.4,71.4,7.7,4.3,16.7,13,13.2,39.9,,,,,,,,,,,,,
19,Brooklyn Nets,82,44,38,48.5,106.7,29.4,68.6,8.6,3.8,16.6,12.8,13,41.1,,,,,,,,,,,,,
20,Cleveland Cavaliers,82,33,49,48.6,107,32.1,71.1,7.1,3.7,16.6,12.6,12.1,38.9,,,,,,,,,,,,,
21,Dallas Mavericks,82,49,33,48.4,107.2,30.7,69.4,8.6,4.3,16.2,13.5,15.6,43.6,,,,,,,,,,,,,
22,Denver Nuggets,82,36,46,48.2,107.3,33.1,70.3,7.5,5.6,17.6,14.1,13.5,45.3,,,,,,,,,,,,,
23,Sacramento Kings,82,28,54,48.4,107.8,32.4,72.5,7.2,3.9,17.1,11.9,15.3,41.9,,,,,,,,,,,,,
24,New York Knicks,82,37,45,48.4,108,29.7,70.5,7.7,4.5,15,12.7,11.7,39.5,,,,,,,,,,,,,
25,Detroit Pistons,82,29,53,48.2,109,30.8,69.3,8.4,4.8,16.9,14,14.1,44.3,,,,,,,,,,,,,
26,Philadelphia 76ers,82,19,63,48.4,109,31.2,68.4,9.3,4,19.2,14.1,16.6,44.2,,,,,,,,,,,,,
27,New Orleans Pelicans,82,34,48,48.4,109.1,30.3,69.4,7.9,6.4,16.1,12.9,13.5,43.8,,,,,,,,,,,,,
28,Los Angeles Lakers,82,27,55,48.1,109.3,32,67.6,7.5,5.4,18.3,15.8,16.7,49.2,,,,,,,,,,,,,
29,Utah Jazz,82,25,57,48.2,110,30.2,70.8,7,4.5,17.4,12.3,15.6,45.8,,,,,,,,,,,,,
30,Milwaukee Bucks,82,15,67,48.5,110.1,29.3,67.8,6.6,4.9,17.8,13.2,12.9,42.4,,,,,,,,,,,,,
